State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Punjab,Sirhind Fatehgarh Sahib,Sirhind Fatehgarh Sahib (M Cl),332,3,114,68,68,0,0,215,69,0,0
Punjab,Muktsar,Bariwala (NP),300,0,298,298,297,2,0,0,280,0,0
Punjab,Muktsar,Gidderbaha (M Cl),427,3,352,352,345,69,0,3,342,0,3
Punjab,Muktsar,Malout (M Cl),3048,866,2182,1552,1542,0,0,0,1392,0,1
Punjab,Muktsar,Muktsar (M Cl),1065,0,1058,1058,1049,1,0,6,1058,0,4
Punjab,Rupnagar,Anandpur Sahib (M Cl),146,0,81,81,11,56,1,8,47,0,0
Punjab,Rupnagar,Chamkaur Sahib (NP),238,0,225,225,220,13,0,0,159,1,1
Punjab,Rupnagar,Kiratpur Sahib,536,0,455,455,418,81,0,0,325,14,0
Punjab,Rupnagar,Morinda (M Cl),329,0,329,145,0,0,0,0,142,0,0
Punjab,Rupnagar,Nangal (M Cl),220,70,125,125,123,7,0,18,29,46,0
Punjab,Rupnagar,Noorpur Bedi,1,1,0,0,0,0,0,0,0,0,0
Punjab,Rupnagar,Rupnagar (M Cl),630,1,488,482,480,141,0,0,470,1,1
Punjab,Sahid Bhgat Singh Nagar,Balachaur (M Cl),399,2,383,381,375,12,0,2,60,0,0
Punjab,Sahid Bhgat Singh Nagar,Banga (M Cl),137,0,120,119,86,17,0,0,118,0,0
Punjab,Sahid Bhgat Singh Nagar,Nawanshahr (M Cl),194,0,194,194,193,0,0,0,190,0,0
Punjab,Sahid Bhgat Singh Nagar,Rahon (M Cl),255,11,244,243,240,0,0,0,123,0,0
Punjab,S.A.S. Nagar (Mohali),Banur (M Cl),316,0,312,312,312,4,0,0,294,0,21
Punjab,S.A.S. Nagar (Mohali),Dera Bassi (M Cl),264,0,260,260,254,2,0,2,260,0,194
Punjab,S.A.S. Nagar (Mohali),Kharar (M Cl),143,1,140,140,2,2,0,0,82,8,0
Punjab,S.A.S. Nagar (Mohali),Kurali (M Cl),345,5,340,340,334,0,0,0,318,1,0
Telangana,Warangal,Bhupalpalli(NP),1673,1054,619,619,606,0,0,0,622,0,0
Punjab,S.A.S. Nagar (Mohali),Lalru,1536,2,1107,1060,1059,310,0,117,922,0,0
Punjab,S.A.S. Nagar (Mohali),Naya Gaon (NP),73,0,71,71,63,2,0,0,52,0,0
Telangana,Warangal,Jangaon (M),3146,1513,1632,1632,1595,0,0,1,1632,1,1
Telangana,Warangal,Mahabubabad,10907,1123,9783,9783,9601,0,1,0,9787,1,0
Telangana,Warangal,Narsampet(NP),1722,517,1205,1205,1188,0,0,0,1205,0,0
