State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Tamil Nadu,Ramanathapuram,Mudukulathur (TP),1054,410,634,487,478,10,0,0,415,28,0
Tamil Nadu,Ramanathapuram,Paramakudi (M),4384,4,3893,2872,2102,485,0,2,2859,21,0
Tamil Nadu,Salem,Gangavalli (TP),518,185,331,264,9,1,0,1,264,0,0
Tamil Nadu,Salem,Ilampillai (TP),396,0,395,395,393,1,0,0,395,0,0
Tamil Nadu,Ramanathapuram,R.S.Mangalam (TP),131,45,84,55,55,1,1,0,54,1,1
Tamil Nadu,Ramanathapuram,Ramanathapuram (M),457,12,432,374,350,13,0,0,377,20,0
Tamil Nadu,Salem,Jalakandapuram (TP),452,118,334,328,328,0,0,0,415,4,0
Tamil Nadu,Salem,Kadayampatti (TP),463,190,271,117,112,0,0,2,457,1,0
Tamil Nadu,Ramanathapuram,Rameswaram (M),5185,851,4047,2007,1869,283,1,3,3465,0,0
Tamil Nadu,Ramanathapuram,Sayalgudi (TP),59,4,55,50,49,0,0,0,8,1,0
Tamil Nadu,Salem,Kannankurichi (TP),1031,92,913,659,654,1,0,25,651,10,0
Tamil Nadu,Salem,Karuppur (TP),684,117,565,536,527,0,0,2,488,10,0
Tamil Nadu,Ramanathapuram,Thondi (TP),511,115,358,266,212,38,0,0,266,0,0
Tamil Nadu,Salem,Keeripatti (TP),1097,399,694,624,604,1,0,3,669,20,0
Tamil Nadu,Salem,Kolathur (TP),407,202,202,162,162,2,0,1,317,0,0
Tamil Nadu,Salem,Konganapuram (TP),546,66,479,286,285,1,0,0,396,1,1
Tamil Nadu,Salem,Mallur (TP),650,1,637,637,593,10,0,2,645,3,0
Tamil Nadu,Salem,Mecheri (TP),1808,223,1561,1351,1243,23,1,0,1504,8,0
Tamil Nadu,Salem,Mettur (M),1073,2,647,647,78,12,0,412,635,1,0
Tamil Nadu,Salem,Nangavalli (TP),492,0,475,475,470,17,0,0,473,5,0
Tamil Nadu,Salem,Narasingapuram (M),1322,42,1266,1264,539,13,0,1,903,85,0
Tamil Nadu,Salem,Omalur (TP),185,5,180,180,175,0,0,0,181,0,1
Tamil Nadu,Salem,P.N.Patti (TP),1761,567,1188,1165,1146,1,3,2,893,10,0
Tamil Nadu,Salem,Panaimarathupatti (TP),305,1,302,287,282,2,0,0,304,0,0
Tamil Nadu,Salem,Pethanaickenpalayam (TP),764,2,631,625,562,129,0,2,635,0,0
Tamil Nadu,Salem,Poolampatti (TP),1319,628,691,687,669,0,0,0,749,2,0
Tamil Nadu,Salem,Salem (M Corp.),4328,986,2343,1555,1391,997,2,0,1891,341,0
Tamil Nadu,Salem,Sankari (TP),503,0,498,498,495,5,0,0,312,5,0
Tamil Nadu,Salem,Sentharapatti (TP),993,486,499,470,456,4,1,3,528,5,0
Tamil Nadu,Salem,Thammampatti (TP),638,2,631,64,60,5,0,0,395,50,0
Tamil Nadu,Salem,Tharamangalam (TP),1174,39,1133,1132,1127,2,0,0,1174,0,0
Tamil Nadu,Salem,Thedavur (TP),905,0,879,769,669,26,0,0,769,1,0
Tamil Nadu,Salem,Thevur (TP),622,242,380,372,359,0,0,0,462,2,0
Tamil Nadu,Salem,Vanavasi (TP),269,2,264,264,261,3,0,0,205,2,0
Tamil Nadu,Salem,Vazhapadi (TP),881,314,562,390,390,4,0,1,590,12,0
Tamil Nadu,Salem,Veeraganur ((TP),1056,849,205,98,82,1,0,1,789,0,0
Tamil Nadu,Salem,Veerakkalpudur (TP),459,29,427,427,426,3,0,0,329,0,0
Uttar Pradesh,Muzaffarnagar,Bhokarhedi (NP),2213,194,808,808,628,1139,1,71,691,48,1
Uttar Pradesh,Muzaffarnagar,Budhana (NP),1419,1,538,538,486,865,7,8,481,11,14
Uttar Pradesh,Muzaffarnagar,Charthawal (NP),1597,211,614,614,602,768,0,4,525,55,6
Uttar Pradesh,Muzaffarnagar,Jansath (NP),1080,60,309,309,277,620,4,87,269,20,1
Uttar Pradesh,Muzaffarnagar,Khatauli (NPP),982,159,640,640,613,175,5,3,581,23,0
Uttar Pradesh,Muzaffarnagar,Miranpur (NP),1656,254,464,460,356,875,9,54,401,24,5
Uttar Pradesh,Muzaffarnagar,Muzaffarnagar (NPP),4619,38,3233,3233,2568,1248,2,98,3004,27,1
Uttar Pradesh,Muzaffarnagar,Purquazi (NP),1129,101,410,409,300,609,5,4,374,19,1
Uttar Pradesh,Muzaffarnagar,Shahpur (NP),1204,278,407,407,388,502,13,4,410,44,4
Uttar Pradesh,Muzaffarnagar,Sisauli (NP),1380,128,274,274,182,977,1,0,236,12,6
Tamil Nadu,The Nilgiris,Adikaratti (TP),531,23,508,381,364,0,0,0,419,0,0
Tamil Nadu,The Nilgiris,Bikketti (TP),630,332,298,298,296,0,0,0,291,0,0
Tamil Nadu,The Nilgiris,Coonoor (M),360,2,295,295,269,0,0,63,272,0,1
Tamil Nadu,The Nilgiris,Devarshola (TP),436,7,379,379,377,50,0,0,384,6,0
Tamil Nadu,The Nilgiris,Gudalur (M),711,34,670,629,520,6,0,1,669,5,0
Tamil Nadu,The Nilgiris,Huligal (TP),330,16,314,135,135,0,0,0,206,1,0
Tamil Nadu,The Nilgiris,Jagathala (TP),248,8,237,207,207,3,0,0,48,1,0
Tamil Nadu,The Nilgiris,Kethi (TP),1194,293,897,783,361,4,0,0,515,8,0
Tamil Nadu,The Nilgiris,Kilkunda (TP),925,0,923,923,923,2,0,0,419,0,0
Tamil Nadu,The Nilgiris,Kotagiri (TP),1264,636,626,613,559,2,0,0,611,0,0
Tamil Nadu,The Nilgiris,Naduvattam (TP),587,10,577,207,107,0,0,0,378,9,0
Tamil Nadu,The Nilgiris,Nelliyalam (M),1770,0,1750,1750,1413,8,0,12,1750,4,0
Tamil Nadu,The Nilgiris,O' Valley (TP),275,198,77,0,0,0,0,0,0,0,0
Tamil Nadu,The Nilgiris,Sholur (TP),341,91,249,237,230,1,0,0,265,1,0
Tamil Nadu,The Nilgiris,Udhagamandalam (M),4835,7,2863,2264,1989,1965,0,0,2254,69,1
Tamil Nadu,The Nilgiris,Wellington (CB),0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Moradabad,Agwanpur (NP),0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Moradabad,Bhojpur Dharampur (NP),1882,15,249,249,241,1598,6,14,228,113,2
Uttar Pradesh,Moradabad,Bilari (NPP),3728,118,820,802,734,2740,15,35,406,353,18
Uttar Pradesh,Moradabad,Dhakia (NP),0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Moradabad,Kanth (NP),2285,265,651,651,624,1316,6,47,196,207,6
Uttar Pradesh,Moradabad,Kundarki (NP),5373,104,878,808,621,4008,21,362,61,103,19
Uttar Pradesh,Moradabad,Moradabad (M Corp.),22615,555,5096,5096,4343,15195,57,1712,2016,265,57
Uttar Pradesh,Moradabad,Pakbada (NP),81,80,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Moradabad,Thakurdwara (NPP),1541,639,48,48,48,842,3,9,29,1,7
Uttar Pradesh,Moradabad,Umri Kalan (NP),1034,183,488,487,409,352,1,10,92,65,6
Tamil Nadu,Pudukkottai,Alangudi (TP),446,117,323,323,319,6,0,0,343,0,0
Tamil Nadu,Pudukkottai,Annavasal (TP),586,133,426,389,388,26,1,0,495,2,0
Tamil Nadu,Pudukkottai,Aranthangi (M),755,1,745,745,248,4,0,5,745,1,0
Tamil Nadu,Pudukkottai,Arimalam (TP),755,103,647,647,640,5,0,0,637,3,0
Tamil Nadu,Pudukkottai,Iluppur (TP),513,0,508,508,468,5,0,0,341,12,0
Tamil Nadu,Pudukkottai,Karambakkudi (TP),737,79,655,611,606,1,1,1,611,2,0
Tamil Nadu,Pudukkottai,Keeramangalam (TP),122,66,56,8,8,0,0,0,69,0,0
Tamil Nadu,Pudukkottai,Keeranur (TP),503,100,400,305,296,1,2,0,378,5,0
Tamil Nadu,Pudukkottai,Ponnamaravathi (TP),98,0,95,95,92,3,0,0,73,2,0
Tamil Nadu,Pudukkottai,Pudukkottai (M),1633,86,1462,1462,990,79,1,5,1466,5,0
Uttar Pradesh,Pilibhit,Barkhera (NP),1475,442,643,643,543,387,3,0,31,284,1
Uttar Pradesh,Pilibhit,Bilsanda (NP),1009,13,912,904,288,83,0,1,108,3,0
Uttar Pradesh,Pilibhit,Bisalpur (NPP),3219,377,1651,1623,434,1172,7,12,318,28,8
Uttar Pradesh,Pilibhit,Gulariya Bhindara (NP),319,0,126,118,115,192,0,1,60,22,1
Uttar Pradesh,Pilibhit,Jahanabad (NP),1331,656,563,509,82,98,14,0,383,193,1
Uttar Pradesh,Pilibhit,Kalinagar (NP),1908,345,1347,1065,719,212,4,0,90,402,0
Uttar Pradesh,Pilibhit,Nyoria Husainpur (NP),3216,1005,1398,1398,447,811,2,0,288,206,11
Uttar Pradesh,Pilibhit,Pilibhit (NPP),3357,691,1286,1285,38,1369,9,2,284,283,9
Uttar Pradesh,Pilibhit,Puranpur (NPP),840,63,565,565,456,205,5,2,315,4,6
Tamil Nadu,Perambalur,Arumbavur (TP),156,14,125,52,51,17,0,0,63,2,0
Tamil Nadu,Perambalur,Kurumbalur (TP),725,63,657,538,491,0,0,5,538,1,0
Tamil Nadu,Perambalur,Labbaikudikadu (TP),114,0,113,75,74,1,0,0,75,1,0
Tamil Nadu,Perambalur,Perambalur (M),983,0,839,839,469,3,0,141,837,1,0
Tamil Nadu,Perambalur,Poolambadi (TP),533,126,406,296,273,0,0,1,329,0,0
Uttar Pradesh,Mirzapur-cum-Vindhyachal,Ahraura (NPP),3615,1139,2048,1682,1544,354,15,59,328,354,1
Uttar Pradesh,Mirzapur-cum-Vindhyachal,Chunar (NPP),4832,343,1667,1551,1491,2667,9,146,399,579,6
Uttar Pradesh,Mirzapur-cum-Vindhyachal,Kachhwa (NP),2448,134,681,658,565,1565,2,66,581,295,7
Uttar Pradesh,Mirzapur-cum-Vindhyachal,Mirzapur-cum-Vindhyachal (NPP),41160,882,7910,7910,3479,31841,57,470,1052,1578,34
Tamil Nadu,Namakkal,Alampalayam (TP),505,0,497,158,141,8,0,0,504,0,0
Tamil Nadu,Namakkal,Athanur (TP),368,57,305,305,304,6,0,0,285,0,0
Tamil Nadu,Namakkal,Erumaipatti (TP),557,0,555,555,553,2,0,0,555,0,0
Tamil Nadu,Namakkal,Kalappanaickenpatti (TP),450,4,446,446,443,0,0,0,446,0,0
Tamil Nadu,Namakkal,Kumarapalayam (M),544,22,357,357,287,46,0,119,357,0,0
Tamil Nadu,Namakkal,Mallasamudram (TP),476,0,475,475,469,1,0,0,476,0,0
Tamil Nadu,Namakkal,Mohanur (TP),406,0,406,406,399,0,0,0,406,0,0
Tamil Nadu,Namakkal,Namagiripettai (TP),1297,0,1249,1249,1247,8,0,40,1249,0,0
Tamil Nadu,Namakkal,Namakkal (M),2985,2,2966,2918,41,13,0,4,2123,51,0
Tamil Nadu,Namakkal,Padaiveedu (TP),559,0,558,558,337,0,1,0,559,0,0
Tamil Nadu,Namakkal,Pallipalayam (M),761,14,445,445,444,109,0,193,445,0,0
Tamil Nadu,Namakkal,Pandamangalam (TP),359,0,355,355,355,4,0,0,355,0,0
Tamil Nadu,Namakkal,Paramathi (TP),463,0,463,463,463,0,0,0,463,0,0
Tamil Nadu,Namakkal,Pattinam (TP),541,0,538,538,537,3,0,0,523,0,0
Tamil Nadu,Namakkal,Pillanallur (TP),654,0,651,651,646,3,0,0,654,0,0
Tamil Nadu,Namakkal,Pothanur (TP),612,0,608,608,47,4,0,0,611,0,0
Tamil Nadu,Madurai,A.Vellalapatti (TP),246,5,177,29,27,64,0,0,195,1,0
Tamil Nadu,Namakkal,R.Pudupatti (TP),630,29,595,595,590,6,0,0,598,0,0
Tamil Nadu,Namakkal,Rasipuram (M),828,2,630,628,91,102,1,93,628,2,0
Tamil Nadu,Madurai,Alanganallur (TP),238,11,226,67,66,1,0,0,147,5,0
Tamil Nadu,Madurai,Anaiyur (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Namakkal,Seerapalli (TP),369,0,366,332,332,3,0,0,156,14,0
Tamil Nadu,Namakkal,Senthamangalam (TP),587,7,575,575,570,5,0,0,576,0,0
Tamil Nadu,Madurai,Avaniapuram (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Madurai,Elumalai (TP),595,0,593,548,524,2,0,0,548,0,0
Tamil Nadu,Namakkal,Tiruchengode (M),1331,436,880,878,303,14,0,1,864,29,0
Tamil Nadu,Namakkal,Velur (TP),500,0,499,499,446,1,0,0,499,0,0
Tamil Nadu,Madurai,Harveypatti (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Madurai,Madurai (M Corp.),8624,24,5828,5828,1944,2771,0,1,5255,222,0
Tamil Nadu,Namakkal,Venkarai (TP),815,0,813,813,808,2,0,0,814,1,0
Tamil Nadu,Namakkal,Vennanthur (TP),125,0,125,125,124,0,0,0,125,0,0
Tamil Nadu,Madurai,Melur (M),875,42,833,702,640,0,0,0,626,12,0
Tamil Nadu,Madurai,Palamedu (TP),729,24,670,232,231,35,0,0,607,0,0
Tamil Nadu,Madurai,Paravai (TP),674,207,372,161,39,95,0,0,509,0,0
Tamil Nadu,Madurai,Peraiyur (TP),447,144,299,71,44,4,0,0,270,5,0
Tamil Nadu,Madurai,Sholavandan (TP),1327,0,1217,1200,1198,110,0,0,1200,0,0
Tamil Nadu,Madurai,T.Kallupatti (TP),368,0,287,267,254,81,0,0,266,0,0
Tamil Nadu,Madurai,Thirumangalam (M),588,1,417,417,349,169,0,1,417,0,0
Tamil Nadu,Madurai,Thirunagar (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Madurai,Thiruparankundram (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Madurai,Usilampatti (M),629,2,602,602,138,16,0,9,601,0,0
Tamil Nadu,Madurai,Vadipatti (TP),1237,126,1107,390,388,4,0,0,1121,15,0
Tamil Nadu,Madurai,Vilangudi (TP),0,0,0,0,0,0,0,0,0,0,0
Sikkim,West District,Gyalshing (NP),203,0,201,201,200,1,0,1,149,0,0
Sikkim,West District,Nayabazar Notified Bazar Area,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Mau,Adari (NP),874,102,638,616,571,107,7,20,280,126,6
Uttar Pradesh,Mau,Amila (NP),596,7,455,208,175,131,2,1,70,10,1
Uttar Pradesh,Mau,Chiraiyakot (NP),0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Mau,Dohrighat (NP),586,39,437,437,314,108,0,2,102,68,1
Uttar Pradesh,Mau,Ghosi (NP),1748,6,1126,1116,1012,510,23,83,264,139,1
Uttar Pradesh,Mau,Kopaganj (NP),2079,5,1661,1661,1503,385,22,6,502,401,21
Uttar Pradesh,Mau,Madhuban (NP),2059,2048,0,0,0,0,11,0,1,13,1
Uttar Pradesh,Mau,Maunath Bhanjan (NPP),10908,31,5899,4691,4013,4631,22,325,828,1276,19
Uttar Pradesh,Mau,Muhammadabad (NP),1695,546,913,772,670,215,3,18,150,246,6
Uttar Pradesh,Mau,Walidpur(NP),1761,161,1516,1461,1232,83,0,1,187,168,2
Uttar Pradesh,Mathura,Bajna (NP),2125,77,382,302,279,867,1,798,133,42,1
Uttar Pradesh,Mathura,Baldeo (NP),6085,147,279,269,232,4713,4,942,125,18,15
Uttar Pradesh,Mathura,Barsana (NP),1388,13,1058,1058,886,308,4,5,407,172,2
Uttar Pradesh,Mathura,Chaumuhan (NP),2294,15,935,934,596,1242,3,99,469,93,142
Uttar Pradesh,Mathura,Chhata (NP),3649,80,543,503,490,3016,3,7,176,288,3
Uttar Pradesh,Mathura,Farah (NP),4763,22,842,519,438,3575,5,319,391,10,5
Uttar Pradesh,Mathura,Gokul (NP),1355,0,134,134,123,1220,0,1,60,12,0
Uttar Pradesh,Mathura,Govardhan (NP),2901,137,863,843,761,1890,4,7,390,324,6
Uttar Pradesh,Mathura,Kosi Kalan (NPP),4970,179,771,768,743,3899,12,109,371,131,3
Uttar Pradesh,Mathura,Mahaban (NP),2696,204,898,842,587,1383,3,208,254,137,3
Uttar Pradesh,Mathura,Mathura (CB),0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Mathura,MATHURA-Vrindavan (M.Corp.),22438,6527,1571,1571,1450,14167,42,131,1255,100,24
Uttar Pradesh,Mathura,Nandgaon (NP),2740,159,690,650,520,1652,5,234,241,181,1
Uttar Pradesh,Mathura,Radhakund (NP),641,32,391,372,341,215,1,2,210,18,1
Uttar Pradesh,Mathura,Raya (NP),15901,332,145,144,129,7201,6,8217,118,26,8
Uttar Pradesh,Mathura,Saunkh (NP),1775,84,517,515,460,965,1,208,149,68,2
Uttar Pradesh,Mathura,Vrindavan (NPP),0,0,0,0,0,0,0,0,0,0,0
Sikkim,South District,Jorethang (NP),149,0,148,148,138,1,0,0,120,4,0
Sikkim,South District,Namchi (M Cl),145,0,144,144,140,1,0,0,130,0,0
Tamil Nadu,Nagapattinam,Kilvelur (TP),377,0,372,264,262,5,0,0,253,6,0
Tamil Nadu,Nagapattinam,Kuthalam (TP),237,104,133,112,110,0,0,0,89,16,0
Tamil Nadu,Nagapattinam,Manalmedu (TP),172,88,82,73,73,2,0,0,80,0,0
Tamil Nadu,Nagapattinam,Mayiladuthurai (M),877,0,788,788,552,56,0,33,788,0,0
Tamil Nadu,Nagapattinam,Nagapattinam (M),2693,100,2350,2350,1312,11,0,232,2194,46,2
Tamil Nadu,Nagapattinam,Sirkali (M),1269,2,1233,1233,601,5,0,29,1088,25,0
Tamil Nadu,Nagapattinam,Thalainayar (TP),1510,986,522,522,519,2,0,0,492,32,0
Tamil Nadu,Nagapattinam,Tharangambadi (TP),611,156,435,336,331,15,0,5,185,22,0
Tamil Nadu,Nagapattinam,Tittacheri (TP),456,178,277,253,253,1,0,0,240,9,0
Tamil Nadu,Nagapattinam,Vaitheeswarankoil (TP),287,93,191,182,182,1,0,2,160,4,1
Tamil Nadu,Nagapattinam,Vedaranyam (M),4301,603,3620,3449,3414,16,0,62,2634,47,0
Tamil Nadu,Nagapattinam,Velankanni (TP),125,0,119,118,112,6,0,0,86,0,0
Uttar Pradesh,Meerut,Bahsuma (NP),2021,319,296,280,132,1404,0,2,78,58,2
Uttar Pradesh,Meerut,Daurala (NP),606,4,414,412,315,171,6,11,38,65,4
Uttar Pradesh,Meerut,Harra (NP),1773,684,844,778,778,238,1,6,0,0,1
Uttar Pradesh,Meerut,Hastinapur (NP),3822,875,701,697,420,2217,6,23,392,12,3
Uttar Pradesh,Meerut,Karnawal (NP),581,3,383,380,351,189,4,2,199,1,1
Uttar Pradesh,Meerut,Kharkhoda (NP),399,2,137,137,110,255,1,4,58,25,0
Uttar Pradesh,Meerut,Khiwai (NP),2175,979,770,88,88,418,1,7,0,0,0
Uttar Pradesh,Meerut,Kithaur (NP),707,285,277,264,252,143,0,2,15,120,0
Uttar Pradesh,Meerut,Lawar (NP),1038,40,749,748,613,242,2,5,420,26,13
Uttar Pradesh,Meerut,Mawana (NPP),4578,744,1517,1257,194,2293,4,20,882,192,2
Uttar Pradesh,Meerut,Meerut (CB),373,360,0,0,0,0,6,7,7,1,3
Uttar Pradesh,Meerut,Meerut (M Corp.),18572,1690,10813,10813,8399,5961,21,87,2206,1310,7
Uttar Pradesh,Meerut,Parikshitgarh (NP),598,129,424,360,353,38,7,0,191,8,3
Uttar Pradesh,Meerut,Phalauda (NP),1116,0,619,619,402,497,0,0,225,186,0
Uttar Pradesh,Meerut,Sardhana (NPP),2146,703,799,798,689,620,3,21,363,17,5
Uttar Pradesh,Meerut,Sewalkhas (NP),1733,124,503,467,426,1023,1,82,228,8,1
Uttar Pradesh,Meerut,Shahjahanpur (NP),0,0,0,0,0,0,0,0,0,0,0
Sikkim,North District,Mangan (NP),77,0,77,77,77,0,0,0,73,0,2
Tamil Nadu,Krishnagiri,Bargur (TP),316,0,309,309,305,7,0,0,309,5,0
Tamil Nadu,Krishnagiri,Denkanikottai (TP),801,0,797,797,768,3,0,1,798,0,1
Tamil Nadu,Krishnagiri,Hosur (M),2186,2,1514,1514,1262,75,0,595,1514,3,0
Tamil Nadu,Krishnagiri,Kaveripattinam (TP),57,6,51,51,49,0,0,0,47,0,0
Tamil Nadu,Krishnagiri,Kelamangalam (TP),229,1,228,228,225,0,0,0,228,0,0
Tamil Nadu,Krishnagiri,Krishnagiri (M),591,102,449,435,392,26,0,14,434,14,0
Tamil Nadu,Krishnagiri,Mathigiri (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Krishnagiri,Nagojanahalli (TP),730,0,730,730,730,0,0,0,337,5,0
Tamil Nadu,Krishnagiri,Uthangarai (TP),819,0,819,819,816,0,0,0,509,1,0
Tamil Nadu,Karur,Aravakurichi (TP),819,208,611,611,611,0,0,0,531,0,0
Tamil Nadu,Karur,Inam Karur (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Karur,Karur (M),3713,31,3452,3441,2939,183,1,46,2670,45,0
Tamil Nadu,Karur,Krishnarayapuram (TP),932,0,929,929,895,3,0,0,849,0,0
Tamil Nadu,Karur,Kulithalai (M),726,0,530,530,509,10,0,186,528,7,0
Tamil Nadu,Karur,Marudur (TP),994,0,991,933,926,3,0,0,854,0,0
Tamil Nadu,Karur,Nangavaram (TP),595,151,440,380,379,2,0,2,380,2,0
Tamil Nadu,Karur,P.J. Cholapuram (TP),1021,0,1017,984,679,4,0,0,983,7,0
Tamil Nadu,Karur,Pallapatti (TP),120,0,120,120,119,0,0,0,97,0,0
Tamil Nadu,Karur,Puliyur (TP),347,0,346,346,342,1,0,0,201,16,0
Tamil Nadu,Karur,Punjai Thottakurichi (TP),906,214,678,662,662,2,0,12,661,1,0
Tamil Nadu,Karur,Punjaipugalur (TP),502,145,350,346,320,7,0,0,302,0,0
Tamil Nadu,Karur,Thanthoni (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Karur,TNPL Pugalur (TP),718,0,717,649,591,1,0,0,530,1,0
Tamil Nadu,Karur,Uppidamangalam (TP),1076,62,1012,878,870,2,0,0,637,17,0
Tamil Nadu,Kanniyakumari,Agastheeswaram (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Alagappapuram (TP),93,0,64,64,64,29,0,0,60,0,0
Tamil Nadu,Kanniyakumari,Alur (TP),103,0,102,102,102,0,0,1,63,0,0
Tamil Nadu,Kanniyakumari,Anjugrammam (TP),97,0,56,56,53,41,0,0,50,1,0
Tamil Nadu,Kanniyakumari,Aralvaimozhi (TP),147,0,145,144,144,1,0,1,114,0,0
Tamil Nadu,Kanniyakumari,Arumanai (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Asaripallam (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Athur (TP),98,0,91,51,50,7,0,0,51,0,0
Tamil Nadu,Kanniyakumari,Azhagiapandipuram (TP),240,0,154,154,151,86,0,0,150,2,0
Tamil Nadu,Kanniyakumari,Boothapandi (TP),116,1,114,46,46,0,1,0,38,0,26
Tamil Nadu,Kanniyakumari,Colachel (M),293,0,291,290,15,2,0,0,254,3,0
Tamil Nadu,Kanniyakumari,Edaicode (TP),3,3,0,0,0,0,0,0,1,0,0
Tamil Nadu,Kanniyakumari,Eraniel (TP),92,0,78,78,78,14,0,0,59,0,0
Tamil Nadu,Kanniyakumari,Ezhudesam (TP),50,0,50,50,50,0,0,0,50,0,0
Tamil Nadu,Kanniyakumari,Ganapathipuram (TP),88,0,48,48,45,40,0,0,48,1,1
Tamil Nadu,Kanniyakumari,Kadayal (TP),143,0,141,141,141,0,2,0,122,0,0
Tamil Nadu,Kanniyakumari,Kaliyakkavilai (TP),16,0,16,16,16,0,0,0,13,1,0
Tamil Nadu,Kanniyakumari,Kallukuttam (TP),39,0,36,36,31,3,0,0,32,0,0
Tamil Nadu,Kanniyakumari,Kanniyakumari (TP),72,24,44,44,43,4,0,0,41,0,0
Tamil Nadu,Kanniyakumari,Kappiyarai (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Karungal (TP),1,1,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Keezhkulam (TP),11,0,9,9,9,1,1,0,10,0,0
Tamil Nadu,Kanniyakumari,Killiyoor (TP),1,1,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Kollancode (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Kothanallur (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Kottaram (TP),51,0,35,35,34,16,0,0,32,0,0
Tamil Nadu,Kanniyakumari,Kulasekaram (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Kumarapuram (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Kuzhithurai (M),62,0,61,61,11,1,0,0,61,0,0
Tamil Nadu,Kanniyakumari,Manavalakurichi (TP),45,9,28,28,28,8,0,0,28,0,0
Tamil Nadu,Kanniyakumari,Mandaikadu (TP),128,13,113,90,90,1,1,0,97,0,0
Tamil Nadu,Kanniyakumari,Marungur (TP),153,0,107,104,104,46,0,0,72,2,0
Tamil Nadu,Kanniyakumari,Mulagumudu (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Mylaudy (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Nagercoil (M),996,5,868,868,822,121,0,2,604,0,0
Tamil Nadu,Kanniyakumari,Nalloor (TP),8,8,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Neyyoor (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Pacode (TP),105,0,105,105,94,0,0,0,55,2,0
Tamil Nadu,Kanniyakumari,Padmanabhapuram (M),215,21,191,181,0,3,0,0,105,7,0
Tamil Nadu,Kanniyakumari,Palappallam (TP),1,1,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Palugal (TP),93,1,84,84,84,8,0,0,83,1,0
Tamil Nadu,Kanniyakumari,Ponmanai (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Puthalam (TP),37,0,33,33,32,4,0,0,32,0,0
Tamil Nadu,Kanniyakumari,Puthukkadai (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Reethapuram (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Suchindrum (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Thazhakudy (TP),178,21,157,157,153,0,0,0,114,16,0
Tamil Nadu,Kanniyakumari,Thengampudur (TP),136,0,113,113,113,23,0,0,113,0,0
Tamil Nadu,Kanniyakumari,Thenthamaraikulam (TP),159,0,125,125,124,34,0,0,107,2,0
Tamil Nadu,Kanniyakumari,Therur (TP),132,17,76,76,75,39,0,0,76,0,0
Tamil Nadu,Kanniyakumari,Thingalnagar (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Kanniyakumari,Thirparappu (TP),53,0,52,52,52,0,1,0,47,0,0
Tamil Nadu,Kanniyakumari,Thiruvattar (TP),70,0,67,67,67,3,0,0,67,1,0
Tamil Nadu,Kanniyakumari,Thiruvithancode (TP),2,1,0,0,0,0,1,0,0,0,0
