State,District,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Gujarat,Aravalli,8829,14,4031,4030,0,963,0,3821,4033,2,2
Gujarat,Banas Kantha,27535,46,20618,20608,0,341,7,6523,20621,1,10
Bihar,Sheikhpura,6467,2324,4130,3542,2667,6,3,4,2106,1474,0
Bihar,Sheohar,2344,185,2142,1854,156,9,2,6,780,560,5
Andhra Pradesh,West Godavari,14946,116,7282,7282,7279,0,1,7547,7285,0,0
Chhattisgarh,Durg,53751,802,40293,40266,28583,11836,9,811,40180,44,2
Gujarat,Bharuch,18205,4,11851,11845,0,1874,0,4476,11846,1,1
Bihar,Sitamarhi,8364,1213,6736,5763,3824,372,11,32,2389,1959,21
Bihar,Siwan,6465,1880,3421,2823,542,164,6,994,1235,1381,18
Karnataka,Bagalkot,17123,921,13523,12743,11310,1385,2,1292,9599,1708,1
Andhra Pradesh,Y.S.R.,24149,1468,11742,11742,11732,0,6,10933,12060,1,5
Chhattisgarh,Gariyaband,5608,32,4491,4491,1990,1079,3,3,4798,27,1
Chhattisgarh,Janjgir-Champa,24176,5275,17959,13001,6892,913,24,5,18008,65,79
Gujarat,Bhavnagar,34740,23,30468,30462,0,271,4,3974,30467,1,4
Gujarat,Botad,12671,4,10468,10463,0,682,0,1517,10464,0,0
Gujarat,Dahod,15116,15,10066,10066,0,0,2,5033,10068,1,15
Bihar,Supaul,9748,1357,8150,6165,1569,233,6,2,2776,2833,14
Bihar,Vaishali,14446,8324,5909,4148,1780,134,14,65,2731,2183,18
Karnataka,Bangalore Rural,3377,2,3073,3035,2620,267,2,33,2362,79,0
Karnataka,Bangalore Urban,4844,218,3412,3400,3226,1198,2,14,449,50,0
Karnataka,Belgaum,20534,1232,16613,15912,13701,1798,16,875,7533,1163,0
Chhattisgarh,JashpurNagar,6478,635,5597,4519,3240,157,9,80,5554,33,31
Chhattisgarh,Kabeerdham,8409,1371,6706,6632,2832,325,3,4,6566,9,10
Chhattisgarh,Kondagaon,4630,1799,2752,1619,964,65,14,0,3926,14,0
Gujarat,Devbhoomi Dwarka,19053,140,14008,14006,0,200,1,4704,14040,1,2
Gujarat,Gandhinagar,24770,7,18157,18157,0,1107,0,5499,18157,1,0
Gujarat,Gir Somnath,21965,20,16447,16447,0,35,2,5461,16449,0,3
Jharkhand,Bokaro,12016,2,9983,9983,9477,1069,1,961,9999,10,3
Karnataka,Bellary,43195,2813,37865,33817,28594,2192,3,322,14906,927,0
Karnataka,Bidar,15728,1836,11821,9982,8611,2058,11,2,4988,1285,0
Chhattisgarh,Korba,38055,988,29893,29889,14633,6018,0,1156,28096,27,1
Chhattisgarh,Koria,19762,1338,16895,16128,10997,1486,4,39,17011,73,1
Chhattisgarh,Mahasamund,10819,2755,7722,7386,3606,342,0,0,8237,42,2
Gujarat,Jamnagar,30884,7,18751,18750,4,659,1,11466,18752,0,1
Gujarat,Junagadh,27659,15,19808,19808,2,200,4,7632,19812,0,2
Jharkhand,Chatra,3168,1,2845,2845,2823,3,0,319,2845,0,41
Jharkhand,Deoghar,15751,24,14020,14020,12992,889,5,813,14027,2,5
Karnataka,Bijapur,25006,2411,21103,15098,12510,843,13,636,8893,464,0
Chhattisgarh,Mungeli,5452,87,4245,4241,2983,1120,0,0,4196,27,2
Chhattisgarh,Narayanpur,2935,0,2932,2925,2887,2,0,1,2934,0,0
Gujarat,Kachchh,33409,22,26210,26194,1,3087,1,4089,26204,1,3
Gujarat,Kheda,40589,15,31910,31909,0,807,0,7857,31913,0,3
Jharkhand,Dhanbad,70549,1092,45997,45997,44397,2887,23,20550,46002,10,93
Jharkhand,Dumka,3915,25,3455,3455,3124,235,1,199,3457,1,1
Karnataka,Chamarajanagar,6779,85,5575,5499,5261,221,0,898,3405,488,0
Chhattisgarh,Raigarh,22755,2430,15990,11114,4076,4283,14,38,16202,94,85
Jammu & Kashmir,Anantnag,7905,1330,5055,3979,1741,1515,1,4,1480,395,1
Gujarat,Mahesana,19293,9,13126,13126,0,493,1,5664,13130,0,2
Gujarat,Mahisagar,5764,107,3818,3818,0,0,1,1838,3823,0,4
Jharkhand,Garhwa,8823,10,7774,7774,6836,465,6,568,7799,0,1
Jharkhand,Giridih,2866,10,2224,2224,2201,47,1,584,2224,0,3
Jharkhand,Godda,2409,12,2232,2232,2228,63,2,100,2229,6,7
Karnataka,Chikkaballapura,8044,489,6700,6221,4609,328,1,526,5017,726,0
Chhattisgarh,Raipur,42599,4707,29690,27642,12497,8176,8,18,28097,28,8
Jammu & Kashmir,Badgam,2913,363,1967,1909,113,582,0,1,564,79,4
Jammu & Kashmir,Bandipore,5209,135,4774,3192,343,266,1,33,1270,179,0
